mode,domain,profile_name,config_id,seed,n_features,calibration,threshold_policy,threshold,val_objective,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,missingness_sensitivity,partial_questionnaire_sensitivity,uncertainty_rate,high_conf_precision,high_conf_coverage,input_missing_ratio
caregiver,adhd,stable_priority,rf_recall,29,22,isotonic,precision_guarded,0.5750000000000001,0.9246219741362516,0.9496402877697842,0.8198757763975155,0.944,0.8819378881987577,0.88,0.9513788819875777,0.953661413580424,0.08397011976053538,0.007155279503105572,0.0040496894409937645,0.017482517482517484,0.9496402877697842,0.9790209790209791,0.04243483788938334
caregiver,adhd,stable_priority,rf_recall,47,22,isotonic,precision_guarded,0.67,0.9262260440757762,0.9496402877697842,0.8198757763975155,0.944,0.8819378881987577,0.88,0.9524223602484472,0.9545210703632607,0.08330114221943645,0.01773913043478259,0.007341614906832272,0.006993006993006993,0.9496402877697842,0.993006993006993,0.04243483788938334
caregiver,adhd,stable_priority,rf_recall,83,22,isotonic,precision_guarded,0.45000000000000007,0.9261247523125355,0.9370629370629371,0.8322981366459627,0.928,0.8801490683229813,0.881578947368421,0.9520745341614908,0.9531793145447539,0.08258737438703585,0.0005217391304348507,0.0005217391304348507,0.14335664335664336,0.9370629370629371,0.8566433566433567,0.04243483788938334
caregiver,adhd,stable_priority,rf_stability,11,22,isotonic,precision_guarded,0.41500000000000004,0.9260464812719055,0.9310344827586207,0.8385093167701864,0.92,0.8792546583850932,0.8823529411764706,0.9521242236024845,0.9544646990598565,0.0833460609006548,0.004521739130434854,-0.0028198757763974736,0.14335664335664336,0.9375,0.8566433566433567,0.04243483788938334
caregiver,adhd,stable_priority,rf_stability,29,22,isotonic,precision_guarded,0.505,0.9264260577194388,0.9370629370629371,0.8322981366459627,0.928,0.8801490683229813,0.881578947368421,0.9507080745341616,0.9564339433923255,0.08533827599134727,0.009366459627329182,0.003813664596273303,0.027972027972027972,0.9370629370629371,0.8776223776223776,0.04243483788938334
caregiver,adhd,stable_priority,rf_stability,47,22,isotonic,precision_guarded,0.505,0.922606000754917,0.9370629370629371,0.8322981366459627,0.928,0.8801490683229813,0.881578947368421,0.9533664596273292,0.9591093872413923,0.0805185455157201,0.004472049689441038,0.0022608695652173716,0.1258741258741259,0.9370629370629371,0.8706293706293706,0.04243483788938334
caregiver,adhd,stable_priority,rf_stability,83,22,isotonic,precision_guarded,0.67,0.9227268238745119,0.9552238805970149,0.7950310559006211,0.952,0.8735155279503105,0.8677966101694915,0.9528198757763977,0.9567106436376647,0.0814529515225813,0.018633540372670843,0.0053416149068322705,0.03496503496503497,0.9552238805970149,0.965034965034965,0.04243483788938334
caregiver,conduct,base,rf_base,11,21,isotonic,balanced,0.13,0.9576456310679611,0.9583333333333334,0.8625,0.9854368932038835,0.9239684466019418,0.9078947368421053,0.9807038834951456,0.9514429364400863,0.04164729600303553,-0.002487864077669877,0.038592233009708765,0.14685314685314685,0.9583333333333334,0.8531468531468531,0.032134532134532136
caregiver,conduct,base,rf_base,29,21,isotonic,balanced,0.17,0.9493971578334985,0.9583333333333334,0.8625,0.9854368932038835,0.9239684466019418,0.9078947368421053,0.9858009708737864,0.9523887002260504,0.04201492154945341,0.019053398058252458,0.020752427184466016,0.03146853146853147,0.9583333333333334,0.8356643356643356,0.032134532134532136
caregiver,conduct,base,rf_base,47,21,isotonic,balanced,0.14500000000000002,0.9576456310679611,0.9583333333333334,0.8625,0.9854368932038835,0.9239684466019418,0.9078947368421053,0.9794902912621359,0.9446295625564751,0.04140150400232246,-0.019842233009708776,0.01847694174757286,0.027972027972027972,0.971830985915493,0.8496503496503497,0.032134532134532136
caregiver,conduct,base,rf_base,83,21,isotonic,balanced,0.135,0.9618579893227843,0.9857142857142858,0.8625,0.9951456310679612,0.9288228155339806,0.92,0.9796723300970874,0.9453436017107892,0.038384700440913466,-0.01741504854368925,0.029915048543689315,0.14685314685314685,0.9857142857142858,0.8531468531468531,0.032134532134532136
caregiver,conduct,base,rf_hardened,11,21,isotonic,balanced,0.17,0.9534926553520897,0.9452054794520548,0.8625,0.9805825242718447,0.9215412621359224,0.9019607843137255,0.9801274271844661,0.9466097480889327,0.04054790364294663,-0.008373786407766981,0.01380461165048541,0.02097902097902098,0.971830985915493,0.8601398601398601,0.032134532134532136
caregiver,conduct,base,rf_hardened,29,21,isotonic,balanced,0.155,0.9534926553520897,0.9452054794520548,0.8625,0.9805825242718447,0.9215412621359224,0.9019607843137255,0.9800060679611651,0.9474960825865071,0.04207873247995598,0.013470873786407767,0.016049757281553445,0.1258741258741259,0.9583333333333334,0.8706293706293706,0.032134532134532136
caregiver,conduct,base,rf_hardened,47,21,isotonic,balanced,0.155,0.9576456310679611,0.971830985915493,0.8625,0.9902912621359223,0.9263956310679612,0.9139072847682119,0.9800667475728155,0.9446174409611044,0.04158168572069894,0.004793689320388372,0.02575849514563111,0.027972027972027972,0.971830985915493,0.8636363636363636,0.032134532134532136
caregiver,conduct,base,rf_hardened,83,21,isotonic,balanced,0.17,0.9534926553520897,0.9459459459459459,0.875,0.9805825242718447,0.9277912621359223,0.9090909090909091,0.9803701456310681,0.946872329793935,0.041060344012483256,-0.014623786407766959,0.02560679611650485,0.02097902097902098,0.9452054794520548,0.8706293706293706,0.032134532134532136
caregiver,conduct,base,rf_precision,11,21,isotonic,balanced,0.12000000000000001,0.9478402817437654,0.9459459459459459,0.875,0.9805825242718447,0.9277912621359223,0.9090909090909091,0.97436286407767,0.9430795593924731,0.04273025937075756,0.010012135922330079,0.028033980582524265,0.1258741258741259,0.9459459459459459,0.8741258741258742,0.032134532134532136
caregiver,conduct,base,rf_precision,29,21,isotonic,balanced,0.12000000000000001,0.9518097324177125,0.9459459459459459,0.875,0.9805825242718447,0.9277912621359223,0.9090909090909091,0.974484223300971,0.9433119942624645,0.0415950427711812,0.033616504854368845,0.019538834951456363,0.1258741258741259,0.9459459459459459,0.8741258741258742,0.032134532134532136
caregiver,conduct,base,rf_precision,47,21,isotonic,balanced,0.12000000000000001,0.9478402817437654,0.9459459459459459,0.875,0.9805825242718447,0.9277912621359223,0.9090909090909091,0.9745145631067961,0.9441851239407566,0.04177559332086127,0.02839805825242725,0.02196601941747578,0.1258741258741259,0.9459459459459459,0.8706293706293706,0.032134532134532136
