feature,feature_label_human,feature_description,layer,domain,domains_final,module,criterion_ref,source_label,instrument_or_source,feature_type,feature_role,dataset_class,questionnaire_class,respondability_group,respondent_expected,administered_by,caregiver_answerable_yes_no,psychologist_answerable_yes_no,must_be_self_report_yes_no,is_direct_input,is_transparent_derived,show_in_questionnaire_yes_no,derivable_if_not_shown_yes_no,include_caregiver_1_3,include_caregiver_2_3,include_caregiver_full,include_psychologist_1_3,include_psychologist_2_3,include_psychologist_full,caregiver_rank,psychologist_rank,caregiver_priority_bucket,psychologist_priority_bucket,selection_rationale,questionnaire_section_suggested,questionnaire_subsection_suggested,needs_human_question_text,notes
enuresis_distress_impairment,Enuresis distress impairment,Input for enuresis - Enuresis distress impairment,dsm5,Elimination,Elimination,enuresis,enuresis_B,dsm5,dsm5,impairment_item,impairment_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,si,si,no,si,si,72.0,72.0,media,media,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles,por_confirmar,por_confirmar,si,
enuresis_diurnal,Enuresis diurnal,Input for enuresis - Enuresis diurnal,dsm5,Elimination,Elimination,enuresis,specifier,dsm5,dsm5,specifier_item,specifier_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,no,si,no,no,si,143.0,169.0,baja,baja,feature DSM-5 explícita; prioridad DSM-5 medium; capa subtype; respondible por ambos roles,por_confirmar,por_confirmar,si,
enuresis_duration_months_consecutive,Enuresis duration months consecutive,Input for enuresis - Enuresis duration months consecutive,dsm5,Elimination,Elimination,enuresis,enuresis_B,dsm5,dsm5,duration_item,duration_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,si,si,no,si,si,90.0,90.0,media,media,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles,por_confirmar,por_confirmar,si,
enuresis_event_frequency_per_week,Enuresis event frequency per week,Input for enuresis - Enuresis event frequency per week,dsm5,Elimination,Elimination,enuresis,enuresis_B,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,si,si,si,si,si,si,37.0,37.0,alta,alta,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,por_confirmar,por_confirmar,si,
enuresis_nocturnal,Enuresis nocturnal,Input for enuresis - Enuresis nocturnal,dsm5,Elimination,Elimination,enuresis,specifier,dsm5,dsm5,specifier_item,specifier_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,no,si,no,no,si,144.0,170.0,baja,baja,feature DSM-5 explícita; prioridad DSM-5 medium; capa subtype; respondible por ambos roles,por_confirmar,por_confirmar,si,
enuresis_not_due_substance_medical,Enuresis not due substance medical,Input for enuresis - Enuresis not due substance medical,dsm5,Elimination,Elimination,enuresis,enuresis_D,dsm5,dsm5,exclusion_flag,exclusion_flag,model_input,direct_psychologist_only,psychologist_only,psychologist,caregiver_or_psychologist,no,si,no,si,no,si,no,no,no,no,no,no,si,,131.0,no_aplica,baja,feature DSM-5 explícita; prioridad DSM-5 high; capa clinician_gate; solo psicólogo,por_confirmar,por_confirmar,si,
enuresis_primary_course,Enuresis primary course,Input for enuresis - Enuresis primary course,dsm5,Elimination,Elimination,enuresis,course,dsm5,dsm5,course_item,course_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,no,si,no,no,si,146.0,178.0,baja,baja,feature DSM-5 explícita; prioridad DSM-5 low; capa course; respondible por ambos roles,por_confirmar,por_confirmar,si,
enuresis_secondary_course,Enuresis secondary course,Input for enuresis - Enuresis secondary course,dsm5,Elimination,Elimination,enuresis,course,dsm5,dsm5,course_item,course_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,no,si,no,no,si,147.0,179.0,baja,baja,feature DSM-5 explícita; prioridad DSM-5 low; capa course; respondible por ambos roles,por_confirmar,por_confirmar,si,
enuresis_threshold_met,Enuresis threshold met,Input for derived - Enuresis threshold met,dsm5,Elimination,Elimination,derived,enuresis_A-D,dsm5,por_confirmar,diagnostic_flag,diagnostic_flag,model_input,transparent_derived,transparent_derived,system,caregiver_or_psychologist,no,si,no,no,si,no,si,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,,,por_confirmar,por_confirmar,derived from available contracts and priority matrix,por_confirmar,por_confirmar,no,
gad_assoc_01_restlessness,Gad assoc 01 restlessness,Input for generalized_anxiety - Gad assoc 01 restlessness,dsm5,Anxiety,Anxiety,generalized_anxiety,GAD_C,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,si,si,no,si,si,73.0,73.0,media,media,feature DSM-5 explícita; prioridad DSM-5 high; capa associated_symptom; respondible por ambos roles,por_confirmar,por_confirmar,si,
gad_assoc_02_fatigue,Gad assoc 02 fatigue,Input for generalized_anxiety - Gad assoc 02 fatigue,dsm5,Anxiety,Anxiety,generalized_anxiety,GAD_C,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,si,si,no,si,si,74.0,74.0,media,media,feature DSM-5 explícita; prioridad DSM-5 high; capa associated_symptom; respondible por ambos roles,por_confirmar,por_confirmar,si,
gad_assoc_03_concentration_difficulty,Gad assoc 03 concentration difficulty,Input for generalized_anxiety - Gad assoc 03 concentration difficulty,dsm5,Anxiety,Anxiety,generalized_anxiety,GAD_C,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,si,si,no,si,si,75.0,75.0,media,media,feature DSM-5 explícita; prioridad DSM-5 high; capa associated_symptom; respondible por ambos roles,por_confirmar,por_confirmar,si,
gad_assoc_04_irritability,Gad assoc 04 irritability,Input for generalized_anxiety - Gad assoc 04 irritability,dsm5,Anxiety,Anxiety,generalized_anxiety,GAD_C,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,si,si,no,si,si,76.0,76.0,media,media,feature DSM-5 explícita; prioridad DSM-5 high; capa associated_symptom; respondible por ambos roles,por_confirmar,por_confirmar,si,
gad_assoc_05_muscle_tension,Gad assoc 05 muscle tension,Input for generalized_anxiety - Gad assoc 05 muscle tension,dsm5,Anxiety,Anxiety,generalized_anxiety,GAD_C,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,si,si,no,si,si,77.0,77.0,media,media,feature DSM-5 explícita; prioridad DSM-5 high; capa associated_symptom; respondible por ambos roles,por_confirmar,por_confirmar,si,
gad_assoc_06_sleep_problems,Gad assoc 06 sleep problems,Input for generalized_anxiety - Gad assoc 06 sleep problems,dsm5,Anxiety,Anxiety,generalized_anxiety,GAD_C,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,si,si,no,si,si,78.0,78.0,media,media,feature DSM-5 explícita; prioridad DSM-5 high; capa associated_symptom; respondible por ambos roles,por_confirmar,por_confirmar,si,
gad_assoc_symptom_count,Gad assoc symptom count,Input for generalized_anxiety - Gad assoc symptom count,dsm5,Anxiety,Anxiety,generalized_anxiety,GAD_C,dsm5,por_confirmar,derived_count,derived_count,model_input,transparent_derived,transparent_derived,system,caregiver_or_psychologist,no,si,no,no,si,no,si,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,,,por_confirmar,por_confirmar,derived from available contracts and priority matrix,por_confirmar,por_confirmar,no,
gad_difficulty_controlling_worry,Gad difficulty controlling worry,Input for generalized_anxiety - Gad difficulty controlling worry,dsm5,Anxiety,Anxiety,generalized_anxiety,GAD_B,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,si,si,si,si,si,si,38.0,38.0,alta,alta,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,por_confirmar,por_confirmar,si,
gad_duration_months,Gad duration months,Input for generalized_anxiety - Gad duration months,dsm5,Anxiety,Anxiety,generalized_anxiety,GAD_A,dsm5,dsm5,duration_item,duration_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,si,si,no,si,si,91.0,91.0,media,media,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles,por_confirmar,por_confirmar,si,
gad_excessive_worry_multiple_areas,Gad excessive worry multiple areas,Input for generalized_anxiety - Gad excessive worry multiple areas,dsm5,Anxiety,Anxiety,generalized_anxiety,GAD_A,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,si,si,si,si,si,si,39.0,39.0,alta,alta,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,por_confirmar,por_confirmar,si,
gad_impairment,Gad impairment,Input for generalized_anxiety - Gad impairment,dsm5,Anxiety,Anxiety,generalized_anxiety,GAD_D,dsm5,dsm5,impairment_item,impairment_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,si,si,no,si,si,79.0,79.0,media,media,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles,por_confirmar,por_confirmar,si,
gad_not_better_explained,Gad not better explained,Input for generalized_anxiety - Gad not better explained,dsm5,Anxiety,Anxiety,generalized_anxiety,GAD_F,dsm5,dsm5,exclusion_flag,exclusion_flag,model_input,direct_psychologist_only,psychologist_only,psychologist,caregiver_or_psychologist,no,si,no,si,no,si,no,no,no,no,no,no,si,,132.0,no_aplica,baja,feature DSM-5 explícita; prioridad DSM-5 high; capa clinician_gate; solo psicólogo,por_confirmar,por_confirmar,si,
gad_not_due_substance_medical,Gad not due substance medical,Input for generalized_anxiety - Gad not due substance medical,dsm5,Anxiety,Anxiety,generalized_anxiety,GAD_E,dsm5,dsm5,exclusion_flag,exclusion_flag,model_input,direct_psychologist_only,psychologist_only,psychologist,caregiver_or_psychologist,no,si,no,si,no,si,no,no,no,no,no,no,si,,133.0,no_aplica,baja,feature DSM-5 explícita; prioridad DSM-5 high; capa clinician_gate; solo psicólogo,por_confirmar,por_confirmar,si,
gad_threshold_met_child,Gad threshold met child,Input for generalized_anxiety - Gad threshold met child,dsm5,Anxiety,Anxiety,generalized_anxiety,GAD_A-F,dsm5,por_confirmar,diagnostic_flag,diagnostic_flag,model_input,transparent_derived,transparent_derived,system,caregiver_or_psychologist,no,si,no,no,si,no,si,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,,,por_confirmar,por_confirmar,derived from available contracts and priority matrix,por_confirmar,por_confirmar,no,
icut_total,Puntuación total de ICU,Input for clean_base - Icut total,clean_base,conduct,conduct,clean_base,na,ICUT,master_inference_ready_strict,aggregate_or_subscale,unspecified,model_input,safe_if_transparently_derived,both,clinician,clinician,si,si,no,si,no,si,no,no,no,si,no,si,si,104.0,104.0,baja,media,feature retenida del clean-base auditado; respondible por ambos roles,Rasgos emocionales e interpersonales (ICU),icut_total,si,present_in_final_input_contract_registry|present_in_questionnaire_feature_contract
mdd_01_depressed_or_irritable_mood,Mdd 01 depressed or irritable mood,Input for major_depressive_episode - Mdd 01 depressed or irritable mood,dsm5,Depression,Depression,major_depressive_episode,MDD_A1,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,si,si,si,si,si,si,40.0,40.0,alta,alta,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,por_confirmar,por_confirmar,si,
mdd_02_loss_of_interest_or_pleasure,Mdd 02 loss of interest or pleasure,Input for major_depressive_episode - Mdd 02 loss of interest or pleasure,dsm5,Depression,Depression,major_depressive_episode,MDD_A2,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,si,si,si,si,si,si,41.0,41.0,alta,alta,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,por_confirmar,por_confirmar,si,
mdd_03_weight_or_appetite_change,Mdd 03 weight or appetite change,Input for major_depressive_episode - Mdd 03 weight or appetite change,dsm5,Depression,Depression,major_depressive_episode,MDD_A3,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,si,si,si,si,si,si,42.0,42.0,alta,alta,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,por_confirmar,por_confirmar,si,
mdd_04_sleep_change,Mdd 04 sleep change,Input for major_depressive_episode - Mdd 04 sleep change,dsm5,Depression,Depression,major_depressive_episode,MDD_A4,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,si,si,si,si,si,si,43.0,43.0,alta,alta,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,por_confirmar,por_confirmar,si,
mdd_05_psychomotor_change,Mdd 05 psychomotor change,Input for major_depressive_episode - Mdd 05 psychomotor change,dsm5,Depression,Depression,major_depressive_episode,MDD_A5,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,si,si,si,si,si,si,44.0,44.0,alta,alta,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,por_confirmar,por_confirmar,si,
mdd_06_fatigue_or_low_energy,Mdd 06 fatigue or low energy,Input for major_depressive_episode - Mdd 06 fatigue or low energy,dsm5,Depression,Depression,major_depressive_episode,MDD_A6,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,si,si,si,si,si,si,45.0,45.0,alta,alta,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,por_confirmar,por_confirmar,si,
mdd_07_worthlessness_or_excessive_guilt,Mdd 07 worthlessness or excessive guilt,Input for major_depressive_episode - Mdd 07 worthlessness or excessive guilt,dsm5,Depression,Depression,major_depressive_episode,MDD_A7,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,si,si,si,si,si,si,46.0,46.0,alta,alta,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,por_confirmar,por_confirmar,si,
mdd_08_concentration_or_decision_difficulty,Mdd 08 concentration or decision difficulty,Input for major_depressive_episode - Mdd 08 concentration or decision difficulty,dsm5,Depression,Depression,major_depressive_episode,MDD_A8,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,si,si,si,si,si,si,47.0,47.0,alta,alta,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,por_confirmar,por_confirmar,si,
mdd_09_death_or_suicidal_thoughts,Mdd 09 death or suicidal thoughts,Input for major_depressive_episode - Mdd 09 death or suicidal thoughts,dsm5,Depression,Depression,major_depressive_episode,MDD_A9,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,si,si,si,si,si,si,48.0,48.0,alta,alta,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,por_confirmar,por_confirmar,si,
mdd_core_symptom_met,Mdd core symptom met,Input for major_depressive_episode - Mdd core symptom met,dsm5,Depression,Depression,major_depressive_episode,MDD_A1A2,dsm5,por_confirmar,threshold_flag,threshold_flag,model_input,transparent_derived,transparent_derived,system,caregiver_or_psychologist,no,si,no,no,si,no,si,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,,,por_confirmar,por_confirmar,derived from available contracts and priority matrix,por_confirmar,por_confirmar,no,
mdd_duration_weeks,Mdd duration weeks,Input for major_depressive_episode - Mdd duration weeks,dsm5,Depression,Depression,major_depressive_episode,MDD_A,dsm5,dsm5,duration_item,duration_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,si,si,no,si,si,92.0,92.0,media,media,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles,por_confirmar,por_confirmar,si,
mdd_impairment,Mdd impairment,Input for major_depressive_episode - Mdd impairment,dsm5,Depression,Depression,major_depressive_episode,MDD_B,dsm5,dsm5,impairment_item,impairment_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,si,si,no,si,si,80.0,80.0,media,media,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles,por_confirmar,por_confirmar,si,
mdd_no_mania_hypomania_history,Mdd no mania hypomania history,Input for major_depressive_episode - Mdd no mania hypomania history,dsm5,Depression,Depression,major_depressive_episode,MDD_E,dsm5,dsm5,exclusion_flag,exclusion_flag,model_input,direct_psychologist_only,psychologist_only,psychologist,caregiver_or_psychologist,no,si,no,si,no,si,no,no,no,no,no,no,si,,134.0,no_aplica,baja,feature DSM-5 explícita; prioridad DSM-5 high; capa clinician_gate; solo psicólogo,por_confirmar,por_confirmar,si,
mdd_not_due_substance_medical,Mdd not due substance medical,Input for major_depressive_episode - Mdd not due substance medical,dsm5,Depression,Depression,major_depressive_episode,MDD_C,dsm5,dsm5,exclusion_flag,exclusion_flag,model_input,direct_psychologist_only,psychologist_only,psychologist,caregiver_or_psychologist,no,si,no,si,no,si,no,no,no,no,no,no,si,,135.0,no_aplica,baja,feature DSM-5 explícita; prioridad DSM-5 high; capa clinician_gate; solo psicólogo,por_confirmar,por_confirmar,si,
mdd_not_psychotic_explained,Mdd not psychotic explained,Input for major_depressive_episode - Mdd not psychotic explained,dsm5,Depression,Depression,major_depressive_episode,MDD_D,dsm5,dsm5,exclusion_flag,exclusion_flag,model_input,direct_psychologist_only,psychologist_only,psychologist,caregiver_or_psychologist,no,si,no,si,no,si,no,no,no,no,no,no,si,,136.0,no_aplica,baja,feature DSM-5 explícita; prioridad DSM-5 high; capa clinician_gate; solo psicólogo,por_confirmar,por_confirmar,si,
mdd_symptom_count,Mdd symptom count,Input for major_depressive_episode - Mdd symptom count,dsm5,Depression,Depression,major_depressive_episode,MDD_A,dsm5,por_confirmar,derived_count,derived_count,model_input,transparent_derived,transparent_derived,system,caregiver_or_psychologist,no,si,no,no,si,no,si,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,,,por_confirmar,por_confirmar,derived from available contracts and priority matrix,por_confirmar,por_confirmar,no,
mdd_threshold_met,Mdd threshold met,Input for major_depressive_episode - Mdd threshold met,dsm5,Depression,Depression,major_depressive_episode,MDD_A-E,dsm5,por_confirmar,diagnostic_flag,diagnostic_flag,model_input,transparent_derived,transparent_derived,system,caregiver_or_psychologist,no,si,no,no,si,no,si,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,,,por_confirmar,por_confirmar,derived from available contracts and priority matrix,por_confirmar,por_confirmar,no,
mfq_p_total,Puntuación total de MFQ del cuidador,Input for clean_base - Mfq p total,clean_base,depression,depression,clean_base,na,MFQ_P,master_inference_ready_strict,aggregate_or_subscale,unspecified,model_input,safe_if_transparently_derived,both,clinician,clinician,si,si,no,si,no,si,no,no,no,si,no,si,si,105.0,105.0,baja,media,feature retenida del clean-base auditado; respondible por ambos roles,Estado de ánimo (MFQ),mfq_p_total,si,present_in_final_input_contract_registry|present_in_questionnaire_feature_contract
pdd_01_appetite_change,Pdd 01 appetite change,Input for persistent_depressive_disorder - Pdd 01 appetite change,dsm5,Depression,Depression,persistent_depressive_disorder,PDD_B,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,no,si,no,no,si,124.0,142.0,baja,baja,feature DSM-5 explícita; prioridad DSM-5 medium; capa associated_symptom; respondible por ambos roles,por_confirmar,por_confirmar,si,
pdd_02_sleep_change,Pdd 02 sleep change,Input for persistent_depressive_disorder - Pdd 02 sleep change,dsm5,Depression,Depression,persistent_depressive_disorder,PDD_B,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,no,si,no,no,si,125.0,143.0,baja,baja,feature DSM-5 explícita; prioridad DSM-5 medium; capa associated_symptom; respondible por ambos roles,por_confirmar,por_confirmar,si,
pdd_03_low_energy,Pdd 03 low energy,Input for persistent_depressive_disorder - Pdd 03 low energy,dsm5,Depression,Depression,persistent_depressive_disorder,PDD_B,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,no,si,no,no,si,126.0,144.0,baja,baja,feature DSM-5 explícita; prioridad DSM-5 medium; capa associated_symptom; respondible por ambos roles,por_confirmar,por_confirmar,si,
pdd_04_low_self_esteem,Pdd 04 low self esteem,Input for persistent_depressive_disorder - Pdd 04 low self esteem,dsm5,Depression,Depression,persistent_depressive_disorder,PDD_B,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,no,si,no,no,si,127.0,145.0,baja,baja,feature DSM-5 explícita; prioridad DSM-5 medium; capa associated_symptom; respondible por ambos roles,por_confirmar,por_confirmar,si,
pdd_05_concentration_difficulty,Pdd 05 concentration difficulty,Input for persistent_depressive_disorder - Pdd 05 concentration difficulty,dsm5,Depression,Depression,persistent_depressive_disorder,PDD_B,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,no,si,no,no,si,128.0,146.0,baja,baja,feature DSM-5 explícita; prioridad DSM-5 medium; capa associated_symptom; respondible por ambos roles,por_confirmar,por_confirmar,si,
pdd_06_hopelessness,Pdd 06 hopelessness,Input for persistent_depressive_disorder - Pdd 06 hopelessness,dsm5,Depression,Depression,persistent_depressive_disorder,PDD_B,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,no,si,no,no,si,129.0,147.0,baja,baja,feature DSM-5 explícita; prioridad DSM-5 medium; capa associated_symptom; respondible por ambos roles,por_confirmar,por_confirmar,si,
pdd_depressed_or_irritable_mood,Pdd depressed or irritable mood,Input for persistent_depressive_disorder - Pdd depressed or irritable mood,dsm5,Depression,Depression,persistent_depressive_disorder,PDD_A,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,no,si,no,si,si,102.0,102.0,baja,media,feature DSM-5 explícita; prioridad DSM-5 medium; capa core_symptom; respondible por ambos roles,por_confirmar,por_confirmar,si,
pdd_duration_months_child,Pdd duration months child,Input for persistent_depressive_disorder - Pdd duration months child,dsm5,Depression,Depression,persistent_depressive_disorder,PDD_A,dsm5,dsm5,duration_item,duration_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,si,si,no,si,si,93.0,93.0,media,media,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles,por_confirmar,por_confirmar,si,
pdd_impairment,Pdd impairment,Input for persistent_depressive_disorder - Pdd impairment,dsm5,Depression,Depression,persistent_depressive_disorder,PDD_H,dsm5,dsm5,impairment_item,impairment_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,no,si,no,no,si,130.0,148.0,baja,baja,feature DSM-5 explícita; prioridad DSM-5 medium; capa criteria_support; respondible por ambos roles,por_confirmar,por_confirmar,si,
pdd_no_gap_gt_2_months,Pdd no gap gt 2 months,Input for persistent_depressive_disorder - Pdd no gap gt 2 months,dsm5,Depression,Depression,persistent_depressive_disorder,PDD_C,dsm5,dsm5,binary,binary,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,no,si,no,no,si,137.0,156.0,baja,baja,feature DSM-5 explícita; prioridad DSM-5 medium; capa criteria_support; respondible por ambos roles,por_confirmar,por_confirmar,si,
pdd_no_mania_hypomania,Pdd no mania hypomania,Input for persistent_depressive_disorder - Pdd no mania hypomania,dsm5,Depression,Depression,persistent_depressive_disorder,PDD_E,dsm5,dsm5,exclusion_flag,exclusion_flag,model_input,direct_psychologist_only,psychologist_only,psychologist,caregiver_or_psychologist,no,si,no,si,no,si,no,no,no,no,no,no,si,,137.0,no_aplica,baja,feature DSM-5 explícita; prioridad DSM-5 high; capa clinician_gate; solo psicólogo,por_confirmar,por_confirmar,si,
pdd_no_psychotic_explained,Pdd no psychotic explained,Input for persistent_depressive_disorder - Pdd no psychotic explained,dsm5,Depression,Depression,persistent_depressive_disorder,PDD_F,dsm5,dsm5,exclusion_flag,exclusion_flag,model_input,direct_psychologist_only,psychologist_only,psychologist,caregiver_or_psychologist,no,si,no,si,no,si,no,no,no,no,no,no,si,,175.0,no_aplica,baja,feature DSM-5 explícita; prioridad DSM-5 medium; capa clinician_gate; solo psicólogo,por_confirmar,por_confirmar,si,
pdd_no_substance_medical,Pdd no substance medical,Input for persistent_depressive_disorder - Pdd no substance medical,dsm5,Depression,Depression,persistent_depressive_disorder,PDD_G,dsm5,dsm5,exclusion_flag,exclusion_flag,model_input,direct_psychologist_only,psychologist_only,psychologist,caregiver_or_psychologist,no,si,no,si,no,si,no,no,no,no,no,no,si,,138.0,no_aplica,baja,feature DSM-5 explícita; prioridad DSM-5 high; capa clinician_gate; solo psicólogo,por_confirmar,por_confirmar,si,
pdd_symptom_count,Pdd symptom count,Input for persistent_depressive_disorder - Pdd symptom count,dsm5,Depression,Depression,persistent_depressive_disorder,PDD_B,dsm5,por_confirmar,derived_count,derived_count,model_input,transparent_derived,transparent_derived,system,caregiver_or_psychologist,no,si,no,no,si,no,si,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,,,por_confirmar,por_confirmar,derived from available contracts and priority matrix,por_confirmar,por_confirmar,no,
pdd_threshold_met_child,Pdd threshold met child,Input for persistent_depressive_disorder - Pdd threshold met child,dsm5,Depression,Depression,persistent_depressive_disorder,PDD_A-H,dsm5,por_confirmar,diagnostic_flag,diagnostic_flag,model_input,transparent_derived,transparent_derived,system,caregiver_or_psychologist,no,si,no,no,si,no,si,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,,,por_confirmar,por_confirmar,derived from available contracts and priority matrix,por_confirmar,por_confirmar,no,
