domain,mode,weight_policy,best_ba,best_f1,best_pr_auc,best_selection
elimination,caregiver_full,class_minor_boost,0.9964953271028038,0.9719626168224299,1.0000000000000002,0.9476495327102804
elimination,caregiver_full,combined_aggressive,0.9964953271028038,0.9719626168224299,1.0,0.9476495327102804
elimination,psychologist_1_3,class_minor_boost,0.9824766355140186,0.8947368421052632,0.9563943427293276,0.9053343782330825
elimination,psychologist_1_3,none,0.9836448598130841,0.8947368421052632,0.9651031543340631,0.9052675561662604
elimination,psychologist_1_3,mode_fragile,0.9824766355140186,0.8775510204081632,0.9600072026391112,0.8959459515705583
elimination,psychologist_1_3,combined_aggressive,0.9813084112149533,0.8717948717948718,0.9605456566955217,0.8956102689904806
elimination,psychologist_1_3,cost_asym,0.9813084112149533,0.8888888888888888,0.9607982334892393,0.891107297686997
elimination,psychologist_2_3,cost_asym,0.9988317757009346,0.9904761904761905,0.9996371552975329,0.953766355140187
elimination,psychologist_2_3,mode_fragile,0.9988317757009346,0.9904761904761905,1.0,0.953766355140187
elimination,psychologist_2_3,none,0.9988317757009346,0.9904761904761905,1.0000000000000002,0.953766355140187
elimination,psychologist_2_3,class_minor_boost,0.9976635514018692,0.9811320754716981,1.0,0.947766355140187
elimination,psychologist_2_3,combined_aggressive,0.9976635514018692,0.9811320754716981,1.0,0.947766355140187
elimination,psychologist_full,cost_asym,0.9988317757009346,0.9904761904761905,1.0000000000000002,0.9538831775700936
elimination,psychologist_full,mode_fragile,0.9976635514018692,0.9811320754716981,1.0000000000000002,0.953766355140187
elimination,psychologist_full,none,0.9976635514018692,0.9811320754716981,1.0000000000000002,0.953766355140187
elimination,psychologist_full,class_minor_boost,0.9976635514018692,0.9811320754716981,1.0000000000000002,0.947766355140187
elimination,psychologist_full,combined_aggressive,0.9964953271028038,0.9719626168224299,1.0000000000000002,0.9476495327102804
