mode,domain,feature_set_id,config_id,seed,calibration_method,val_brier,val_ece
caregiver_full,depression,balanced_subset,rf_pos_weight_mid,20261101,isotonic,0.033781344143938324,7.520833333452708e-07
caregiver_full,depression,balanced_subset,rf_pos_weight_mid,20261119,none,0.03859893443713712,0.03108146983108662
caregiver_full,depression,balanced_subset,rf_pos_weight_mid,20261119,sigmoid,0.03930577232764786,0.042793174677193596
caregiver_full,depression,balanced_subset,rf_pos_weight_mid,20261119,isotonic,0.03298792665291526,7.729166666680595e-07
psychologist_1_3,adhd,engineered_compact,rf_balanced_subsample,20261101,none,0.06986721992308498,0.04147270152496119
psychologist_1_3,adhd,engineered_compact,rf_balanced_subsample,20261101,sigmoid,0.07344963010868993,0.06163411502742672
psychologist_1_3,adhd,engineered_compact,rf_balanced_subsample,20261101,isotonic,0.061452775787692,6.770833333364558e-07
psychologist_1_3,adhd,engineered_compact,rf_balanced_subsample,20261119,none,0.07161219057786795,0.05164031204708276
psychologist_1_3,adhd,engineered_compact,rf_balanced_subsample,20261119,sigmoid,0.07561238712632819,0.06712044173114917
psychologist_1_3,adhd,engineered_compact,rf_balanced_subsample,20261119,isotonic,0.06351937163145552,6.708333333374968e-07
psychologist_1_3,adhd,engineered_compact,rf_regularized,20261101,none,0.07128807603091333,0.03767828974268412
psychologist_1_3,adhd,engineered_compact,rf_regularized,20261101,sigmoid,0.0719545419880637,0.05753820034968219
psychologist_1_3,adhd,engineered_compact,rf_regularized,20261101,isotonic,0.06401939872210653,6.729166666875434e-07
psychologist_1_3,adhd,engineered_compact,rf_regularized,20261119,none,0.07184145163760108,0.04219795202268468
psychologist_1_3,adhd,engineered_compact,rf_regularized,20261119,sigmoid,0.07229572901563716,0.06465947419650062
psychologist_1_3,adhd,engineered_compact,rf_regularized,20261119,isotonic,0.06245407842745845,6.687500000238235e-07
psychologist_1_3,conduct,compact_subset,rf_recall_guard,20261101,none,0.053245956686595194,0.03599092493797373
psychologist_1_3,conduct,compact_subset,rf_recall_guard,20261101,sigmoid,0.052814189875155536,0.04537737424615703
psychologist_1_3,conduct,compact_subset,rf_recall_guard,20261101,isotonic,0.0467742990340458,6.729166666426213e-07
psychologist_1_3,conduct,compact_subset,rf_recall_guard,20261119,none,0.05436471671082691,0.034427722462196296
psychologist_1_3,conduct,compact_subset,rf_recall_guard,20261119,sigmoid,0.05466251533198727,0.048119442536318724
psychologist_1_3,conduct,compact_subset,rf_recall_guard,20261119,isotonic,0.048161217703227524,6.79166666684961e-07
psychologist_1_3,conduct,compact_subset,rf_baseline,20261101,none,0.053456327681716896,0.04141218799001922
psychologist_1_3,conduct,compact_subset,rf_baseline,20261101,sigmoid,0.05249323705972279,0.05029911106895182
psychologist_1_3,conduct,compact_subset,rf_baseline,20261101,isotonic,0.04597229412166851,6.708333333007773e-07
psychologist_1_3,conduct,compact_subset,rf_baseline,20261119,none,0.05420818142842851,0.04261681946548819
psychologist_1_3,conduct,compact_subset,rf_baseline,20261119,sigmoid,0.05434182824056853,0.05086634817895994
psychologist_1_3,conduct,compact_subset,rf_baseline,20261119,isotonic,0.04742842542107847,6.937499999530109e-07
psychologist_1_3,elimination,engineered_full,rf_baseline,20261101,none,0.025027433991997455,0.039625712232443475
psychologist_1_3,elimination,engineered_full,rf_baseline,20261101,sigmoid,0.02525101623995681,0.050340351041935405
psychologist_1_3,elimination,engineered_full,rf_baseline,20261101,isotonic,0.017883297259193087,8.958333333400312e-07
psychologist_1_3,elimination,engineered_full,rf_baseline,20261119,none,0.026137414851830017,0.038300559256253
