trial_id,domain,mode,feature_set_id,model_family,config,calibration,threshold_policy,threshold,n_features,val_balanced_accuracy,val_pr_auc,val_precision,val_recall,holdout_precision,holdout_recall,holdout_specificity,holdout_balanced_accuracy,holdout_f1,holdout_roc_auc,holdout_pr_auc,holdout_brier,train_balanced_accuracy,overfit_gap_train_val_ba
81,depression,caregiver_1_3,full_eligible,extra_trees,"{""bootstrap"": false, ""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 400, ""n_jobs"": -1, ""random_state"": 20270413}",none,default_0_5,0.5,49,0.837435923463432,0.8347960671353787,0.7457627118644068,0.7213114754098361,0.9032258064516129,0.717948717948718,0.9850746268656716,0.8515116724071947,0.8,0.9776278862099758,0.8456542685980586,0.04736834635416667,1.0,0.16256407653656801
82,depression,caregiver_1_3,full_eligible,extra_trees,"{""bootstrap"": false, ""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 400, ""n_jobs"": -1, ""random_state"": 20270413}",none,balanced,0.26999999999999996,49,0.9298837740445618,0.8347960671353787,0.6,0.9836065573770492,0.73,0.9358974358974359,0.9328358208955224,0.9343666283964791,0.8202247191011236,0.9776278862099758,0.8456542685980586,0.04736834635416667,1.0,0.0701162259554382
83,depression,caregiver_1_3,full_eligible,hgb,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 6, ""max_iter"": 250, ""random_state"": 20270413}",none,default_0_5,0.5,49,0.8921737806425417,0.7836818950025571,0.7027027027027027,0.8524590163934426,0.8227848101265823,0.8333333333333334,0.9651741293532339,0.8992537313432836,0.8280254777070064,0.9722860058680954,0.8296928123778262,0.04828117029062903,1.0,0.10782621935745829
84,depression,caregiver_1_3,full_eligible,hgb,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 6, ""max_iter"": 250, ""random_state"": 20270413}",none,balanced,0.08,49,0.9252398111962645,0.7836818950025571,0.5825242718446602,0.9836065573770492,0.6491228070175439,0.9487179487179487,0.900497512437811,0.9246077305778798,0.7708333333333334,0.9722860058680954,0.8296928123778262,0.04828117029062903,0.9794628751974723,0.0542230640012078
85,depression,caregiver_1_3,full_eligible,logreg,"{""C"": 1.0, ""class_weight"": ""balanced"", ""max_iter"": 2000, ""solver"": ""liblinear""}",none,default_0_5,0.5,49,0.8970968887986601,0.7854975173588887,0.5833333333333334,0.9180327868852459,0.6605504587155964,0.9230769230769231,0.9079601990049752,0.9155185610409491,0.7700534759358288,0.9682038525322108,0.8218939403502402,0.06594051353115785,0.922731262067755,0.0256343732690949
86,depression,caregiver_1_3,full_eligible,logreg,"{""C"": 1.0, ""class_weight"": ""balanced"", ""max_iter"": 2000, ""solver"": ""liblinear""}",none,balanced,0.5499999999999999,49,0.9017408516469574,0.7854975173588887,0.6021505376344086,0.9180327868852459,0.6893203883495146,0.9102564102564102,0.9203980099502488,0.9153272101033295,0.7845303867403315,0.9682038525322108,0.8218939403502402,0.06594051353115785,0.9176935229067931,0.015952671259835682
87,depression,caregiver_1_3,boosted_eng_full,rf,"{""bootstrap"": true, ""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 400, ""n_jobs"": -1, ""random_state"": 20270413}",none,default_0_5,0.5,67,0.8635740750139573,0.8349742550606376,0.7704918032786885,0.7704918032786885,0.8783783783783784,0.8333333333333334,0.9776119402985075,0.9054726368159205,0.8552631578947368,0.9778351830590637,0.8860894183105936,0.04080364583333333,1.0,0.13642592498604267
88,depression,caregiver_1_3,boosted_eng_full,rf,"{""bootstrap"": true, ""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 400, ""n_jobs"": -1, ""random_state"": 20270413}",none,balanced,0.22999999999999998,67,0.9289702075826016,0.8349742550606376,0.6590909090909091,0.9508196721311475,0.72,0.9230769230769231,0.9303482587064676,0.9267125908916953,0.8089887640449438,0.9778351830590637,0.8860894183105936,0.04080364583333333,0.9913112164296998,0.062341008847098145
89,depression,caregiver_1_3,boosted_eng_full,extra_trees,"{""bootstrap"": false, ""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 400, ""n_jobs"": -1, ""random_state"": 20270413}",none,default_0_5,0.5,67,0.8635740750139573,0.8432632220856783,0.7704918032786885,0.7704918032786885,0.8805970149253731,0.7564102564102564,0.9800995024875622,0.8682548794489093,0.8137931034482758,0.9785527490751371,0.879445812400125,0.042071510416666666,1.0,0.13642592498604267
90,depression,caregiver_1_3,boosted_eng_full,extra_trees,"{""bootstrap"": false, ""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 400, ""n_jobs"": -1, ""random_state"": 20270413}",none,balanced,0.22999999999999998,67,0.934527736892859,0.8432632220856783,0.6185567010309279,0.9836065573770492,0.6923076923076923,0.9230769230769231,0.9203980099502488,0.921737466513586,0.7912087912087912,0.9785527490751371,0.879445812400125,0.042071510416666666,1.0,0.06547226310714105
