trial_id,threshold,val_precision,val_balanced_accuracy,val_recall,test_precision,test_balanced_accuracy,test_recall,test_specificity
V3_T08_ultra_compact_thesis_variant,0.6499999999999999,0.0,0.5,0.0,0.0,0.5,0.0,1.0
V3_T08_ultra_compact_thesis_variant,0.7,0.0,0.5,0.0,0.0,0.5,0.0,1.0
V3_T08_ultra_compact_thesis_variant,0.75,0.0,0.5,0.0,0.0,0.5,0.0,1.0
V3_T08_ultra_compact_thesis_variant,0.8,0.0,0.5,0.0,0.0,0.5,0.0,1.0
V3_T08_ultra_compact_thesis_variant,0.85,0.0,0.5,0.0,0.0,0.5,0.0,1.0
V3_T09_optional_research_context,0.2,0.936046511627907,0.956,1.0,0.8846153846153846,0.9159999999999999,1.0,0.832
V3_T09_optional_research_context,0.25,0.9640718562874252,0.976,1.0,0.8994413407821229,0.9279999999999999,1.0,0.856
V3_T09_optional_research_context,0.3,0.9817073170731707,0.988,1.0,0.9252873563218391,0.948,1.0,0.896
V3_T09_optional_research_context,0.35,0.9877300613496932,0.992,1.0,0.9526627218934911,0.968,1.0,0.936
V3_T09_optional_research_context,0.4,0.9877300613496932,0.992,1.0,0.9698795180722891,0.98,1.0,0.96
V3_T09_optional_research_context,0.44999999999999996,0.9938271604938271,0.996,1.0,0.9757575757575757,0.984,1.0,0.968
V3_T09_optional_research_context,0.5,0.9938271604938271,0.996,1.0,0.9817073170731707,0.988,1.0,0.976
V3_T09_optional_research_context,0.55,0.9938271604938271,0.996,1.0,0.99375,0.9897888198757764,0.9875776397515528,0.992
V3_T09_optional_research_context,0.6,1.0,1.0,1.0,1.0,0.9937888198757764,0.9875776397515528,1.0
V3_T09_optional_research_context,0.6499999999999999,1.0,0.9968944099378882,0.9937888198757764,1.0,0.9782608695652174,0.9565217391304348,1.0
V3_T09_optional_research_context,0.7,1.0,0.9720496894409938,0.9440993788819876,1.0,0.9534161490683231,0.906832298136646,1.0
V3_T09_optional_research_context,0.75,1.0,0.9596273291925466,0.9192546583850931,1.0,0.9099378881987578,0.8198757763975155,1.0
V3_T09_optional_research_context,0.8,1.0,0.9285714285714286,0.8571428571428571,1.0,0.8819875776397516,0.7639751552795031,1.0
V3_T09_optional_research_context,0.85,1.0,0.8975155279503105,0.7950310559006211,1.0,0.8571428571428572,0.7142857142857143,1.0
V3_T10_stop_condition_control,0.2,0.8554913294797688,0.8596273291925466,0.9192546583850931,0.8095238095238095,0.8311552795031056,0.9503105590062112,0.712
V3_T10_stop_condition_control,0.25,0.874251497005988,0.869416149068323,0.906832298136646,0.8306010928961749,0.8480496894409938,0.9440993788819876,0.752
