domain,role,feature,model_importance_score,questionnaire_rank,rank_score,domain_score,core_score,composite_importance,feature_type,selection_rationale
depression,psychologist,dmdd_onset_before_10,0.03067052701327342,88.0,0.5139664804469274,1.0,0.45,0.3631285595960222,history_flag,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles
depression,psychologist,gad_assoc_06_sleep_problems,0.015666011523219826,78.0,0.5698324022346368,0.7,1.0,0.3617994862085373,symptom_item,feature DSM-5 explícita; prioridad DSM-5 high; capa associated_symptom; respondible por ambos roles
depression,psychologist,gad_assoc_02_fatigue,0.005441045620352175,74.0,0.5921787709497206,0.7,1.0,0.3611562770001202,symptom_item,feature DSM-5 explícita; prioridad DSM-5 high; capa associated_symptom; respondible por ambos roles
depression,psychologist,pdd_06_hopelessness,0.047854791650147055,147.0,0.1843575418994413,1.0,1.0,0.36079890420496186,symptom_item,feature DSM-5 explícita; prioridad DSM-5 medium; capa associated_symptom; respondible por ambos roles
depression,psychologist,social_anxiety_impairment,0.012180264381242697,82.0,0.547486033519553,0.7,1.0,0.355587338894532,impairment_item,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles
depression,psychologist,pdd_03_low_energy,0.02874412392666617,144.0,0.2011173184357542,1.0,1.0,0.3545955256504839,symptom_item,feature DSM-5 explícita; prioridad DSM-5 medium; capa associated_symptom; respondible por ambos roles
depression,psychologist,pdd_02_sleep_change,0.02574192535813409,143.0,0.2067039106145251,1.0,1.0,0.35421174480197204,symptom_item,feature DSM-5 explícita; prioridad DSM-5 medium; capa associated_symptom; respondible por ambos roles
depression,psychologist,pdd_04_low_self_esteem,0.0296853130607721,145.0,0.1955307262569832,1.0,1.0,0.3539488017817827,symptom_item,feature DSM-5 explícita; prioridad DSM-5 medium; capa associated_symptom; respondible por ambos roles
depression,psychologist,sep_anx_impairment,0.004176225551965961,81.0,0.553072625698324,0.7,1.0,0.3527026379156478,impairment_item,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles
depression,psychologist,gad_duration_months,0.021832083867913545,91.0,0.4972067039106145,0.7,1.0,0.35035738271607964,duration_item,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles
depression,psychologist,agor_duration_months,0.010653734108017638,86.0,0.5251396648044693,0.7,1.0,0.3503548000149027,duration_item,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles
depression,psychologist,adhd_context_home,0.0014011746329328342,83.0,0.541899441340782,0.7,1.0,0.34908047558462285,context_flag,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles
depression,psychologist,adhd_context_school,0.00269628025600753,84.0,0.5363128491620112,0.7,1.0,0.348610709960406,context_flag,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles
depression,psychologist,encopresis_duration_months_consecutive,0.006308768834114658,89.0,0.5083798882681565,0.7,1.0,0.3448303620706886,duration_item,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles
depression,psychologist,agor_fear_02_open_spaces,0.024060015027363206,97.0,0.46368715083798884,0.7,1.0,0.3447674376812794,symptom_item,feature DSM-5 explícita; prioridad DSM-5 medium; capa core_symptom; respondible por ambos roles
depression,psychologist,agor_fear_04_crowds_queues,0.02511841352980651,99.0,0.45251396648044695,0.7,1.0,0.34306200006099263,symptom_item,feature DSM-5 explícita; prioridad DSM-5 medium; capa core_symptom; respondible por ambos roles
depression,psychologist,social_anxiety_duration_months,0.01421223305390987,95.0,0.4748603351955307,0.7,1.0,0.3420781835660611,duration_item,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles
depression,psychologist,agor_fear_01_public_transport,0.016373122832233054,96.0,0.4692737430167597,0.7,1.0,0.34204131001946847,symptom_item,feature DSM-5 explícita; prioridad DSM-5 medium; capa core_symptom; respondible por ambos roles
depression,psychologist,enuresis_duration_months_consecutive,0.0021504418950931345,90.0,0.5027932960893855,0.7,1.0,0.3416338801654236,duration_item,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles
depression,psychologist,sep_anx_duration_weeks,0.010804704035326743,94.0,0.4804469273743017,0.7,1.0,0.3414917374925237,duration_item,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles
depression,psychologist,dmdd_context_school,0.025376300666447277,155.0,0.13966480446927376,1.0,1.0,0.3406211112270784,context_flag,feature DSM-5 explícita; prioridad DSM-5 medium; capa criteria_support; respondible por ambos roles
depression,psychologist,agor_fear_03_enclosed_spaces,0.015181961158248155,98.0,0.45810055865921784,0.7,1.0,0.3392110923109677,symptom_item,feature DSM-5 explícita; prioridad DSM-5 medium; capa core_symptom; respondible por ambos roles
depression,psychologist,dmdd_context_home,0.013304016268429815,153.0,0.15083798882681565,1.0,1.0,0.33681960589957805,context_flag,feature DSM-5 explícita; prioridad DSM-5 medium; capa criteria_support; respondible por ambos roles
